N,ns/op
3700.0,0.889915
2800.0,0.88769
3000.0,0.867138
200.0,0.895979
1100.0,1.067357
3400.0,0.933597
1700.0,0.891226
1100.0,0.913361
2100.0,0.910882
4800.0,0.869731
2400.0,0.929112
3400.0,0.86523
2300.0,0.870735
4100.0,0.885989
4600.0,0.93398
4000.0,0.871799
3000.0,0.930862
2700.0,0.904143
3900.0,0.886722
1500.0,1.004747
2700.0,0.949867
3900.0,0.917615
1900.0,0.944564
4200.0,0.91618
3100.0,0.855254
1000.0,0.861575
1000.0,0.87841
4200.0,0.867425
4900.0,0.858841
3000.0,0.869263
1400.0,1.010892
2100.0,1.038428
3600.0,0.960142
3400.0,0.912109
200.0,0.952195
3800.0,0.875231
1700.0,0.922737
4100.0,0.877356
4400.0,0.893284
1900.0,0.889414
3800.0,0.904242
2900.0,0.956624
3500.0,0.967564
3900.0,0.908061
600.0,1.05785
3600.0,0.917817
3300.0,0.865003
3100.0,0.866731
300.0,0.874026
2700.0,0.881119
4500.0,1.019731
1800.0,0.911699
500.0,0.870054
3900.0,0.977625
3200.0,1.006663
400.0,1.056383
3600.0,0.982171
200.0,1.034645
2400.0,0.995566
900.0,1.001632
800.0,1.055558
3500.0,0.933734
3600.0,0.975816
700.0,1.064354
2700.0,1.027852
3100.0,0.895503
200.0,1.064368
4300.0,0.866509
400.0,0.957237
1900.0,1.046783
3400.0,0.870798
500.0,0.891477
2400.0,0.889032
3500.0,0.868437
400.0,0.892969
200.0,1.248595
1900.0,0.896391
4000.0,0.95237
4300.0,0.879491
2100.0,0.890961
4900.0,0.904152
2900.0,0.893922
4100.0,0.875396
3500.0,0.978934
2800.0,0.869472
4100.0,0.879733
3300.0,0.877144
1800.0,0.861631
2000.0,0.984918
3300.0,0.868125
4400.0,0.896757
3400.0,0.888162
4000.0,0.924775
3200.0,0.887646
700.0,0.907802
3500.0,0.878597
4800.0,0.868444
3700.0,0.935012
500.0,0.875167
2500.0,0.913035
3400.0,0.935801
2700.0,0.94001
1400.0,1.025298
4900.0,0.942303
200.0,0.931237
2500.0,0.871565
1400.0,1.038544
3100.0,0.89473
3400.0,0.902402
2000.0,0.875461
900.0,0.91736
600.0,0.901817
2600.0,0.878829
3100.0,0.988107
1100.0,1.077095
3600.0,0.958528
200.0,0.941586
2400.0,1.025416
2600.0,0.904876
4700.0,0.870339
500.0,0.977753
3800.0,0.874684
4100.0,0.873111
4500.0,0.990948
4500.0,0.902186
3500.0,1.014711
900.0,1.060861
1400.0,0.942975
4400.0,0.895736
4100.0,0.86881
1600.0,0.9896
1000.0,0.890182
3500.0,0.894595
300.0,0.878767
400.0,1.103014
1900.0,0.989325
4200.0,0.868181
2500.0,1.009069
400.0,0.864932
4600.0,0.967089
400.0,0.887192
4000.0,0.901986
3800.0,0.95607
1900.0,0.890427
1700.0,0.893239
600.0,0.936955
2600.0,0.87496
2900.0,0.896954
3400.0,0.949457
500.0,1.044801
700.0,0.916415
2900.0,1.05175
2000.0,0.935905
4000.0,0.868964
1200.0,0.96643
3300.0,0.948255
1000.0,0.891709
2700.0,0.953828
1600.0,1.028019
4200.0,0.982063
2300.0,0.981753
3800.0,0.948497
3700.0,0.921176
300.0,0.952954
200.0,0.893841
2500.0,1.033609
3700.0,0.914227
4700.0,0.968723
1400.0,0.886954
4400.0,0.865212
800.0,0.997729
1100.0,1.048265
1500.0,0.883252
4200.0,0.993684
1900.0,1.058689
900.0,1.051546
2300.0,0.945358
4300.0,0.938608
4100.0,0.894146
1300.0,0.87302
1500.0,0.883734
900.0,0.942937
500.0,0.878474
4500.0,0.943392
3700.0,0.862518
1300.0,0.98137
1700.0,0.888595
2000.0,0.906638
4400.0,0.956974
2300.0,0.933175
4200.0,0.944405
2500.0,0.999568
3100.0,1.016952
3400.0,0.952555
4700.0,0.9486
3600.0,1.040658
1100.0,1.017782
4500.0,0.872816
600.0,0.9136
2700.0,0.881905
3300.0,0.866637
1400.0,0.992228
4600.0,0.933351
1600.0,0.974818
800.0,1.046224
2000.0,0.910886
4400.0,0.980365
1600.0,0.951196
1900.0,1.037095
3000.0,0.905989
4900.0,0.881499
3500.0,1.025028
1700.0,1.034445
3500.0,0.901426
2700.0,0.980612
2200.0,1.000134
1100.0,1.056383
2600.0,1.015601
2300.0,1.001658
3500.0,0.885317
500.0,0.883333
2700.0,0.882201
4100.0,0.89438
1700.0,1.033375
1800.0,0.952758
4200.0,0.950487
4300.0,0.99374
2300.0,1.039596
900.0,1.021
2800.0,0.977645
100.0,1.089426
3000.0,0.868613
3600.0,0.886905
1600.0,1.045678
3200.0,0.930299
1800.0,0.867604
4100.0,0.876321
600.0,1.220345
4400.0,1.006999
4200.0,0.873576
2200.0,1.020593
1000.0,1.072747
4300.0,0.989527
2200.0,1.022303
1400.0,0.871779
4000.0,1.028516
700.0,1.057554
3900.0,0.91593
4700.0,0.874885
2700.0,1.010757
4700.0,0.942805
1600.0,1.040881
2100.0,0.906919
800.0,0.978824
600.0,1.048862
2400.0,0.923827
1300.0,0.942976
2200.0,1.079894
1500.0,0.944493
3900.0,0.942069
1300.0,1.047476
2200.0,0.862425
4900.0,0.895331
3800.0,0.872021
4700.0,0.889767
1300.0,1.089107
2000.0,1.056513
700.0,0.964322
2100.0,0.92451
2800.0,0.904297
200.0,1.167806
200.0,1.076823
1100.0,0.938402
2200.0,1.002729
2600.0,0.923213
2000.0,1.048462
4700.0,0.921594
2900.0,1.022712
4700.0,0.909666
600.0,0.995778
1100.0,1.080113
3800.0,0.933011
4500.0,0.889009
4500.0,0.888704
3900.0,0.947703
2600.0,1.035754
1300.0,1.034594
4800.0,0.999049
1900.0,1.033269
3700.0,0.916374
4300.0,0.889172
3800.0,0.871404
1400.0,1.043474
4200.0,0.906113
2200.0,1.046262
4700.0,0.891283
4600.0,0.860615
2400.0,0.990553
1800.0,0.89057
4200.0,0.881681
1300.0,0.946881
1200.0,1.213472
2200.0,0.963178
4500.0,0.955909
700.0,1.026189
4400.0,0.897152
2800.0,0.887217
4700.0,0.932662
2700.0,0.956378
3300.0,0.867527
2600.0,1.03996
4900.0,0.888326
1700.0,1.02361
2700.0,0.852792
4700.0,0.876109
2300.0,0.948699
3600.0,0.881188
3700.0,0.902202
4500.0,1.007266
100.0,1.100337
2200.0,0.971425
4600.0,0.919641
4400.0,0.901359
3500.0,0.889291
3200.0,0.96446
3400.0,1.028207
200.0,0.930991
2600.0,1.056068
