Impl,N,ns,ns/op
optimized,3500,345331400,0.1767915060049503
optimized,2000,112641600,0.17667143103934427
optimized,2000,115281000,0.1808111678247348
optimized,4000,451660400,0.1770184244795688
optimized,1000,25849400,0.1623552486141763
optimized,4000,426585300,0.16719078695441134
optimized,3500,340919900,0.17453305013114084
optimized,2500,180134200,0.18079990525113468
optimized,1000,28065500,0.17627415839366348
optimized,500,7983200,0.20088373544302524
optimized,5000,688609600,0.17269968010526318
optimized,1000,28726100,0.18042326348834747
optimized,3500,318490400,0.16305032633614847
optimized,3000,241939000,0.16861254365538553
optimized,5000,674131800,0.16906872371338602
optimized,1500,64801000,0.18074779609356934
optimized,2500,159162000,0.15975020023727365
optimized,1000,26385300,0.16572113632268545
optimized,4500,554875000,0.17182022747379858
optimized,1500,60493500,0.16873299490727514
optimized,2500,182657100,0.18333212889860467
optimized,4000,446022500,0.17480877276918338
optimized,2500,179063400,0.1797251479949173
optimized,4500,571987600,0.17711924225130363
optimized,3500,345617700,0.17693807654029464
optimized,4500,571474500,0.17696035789227357
optimized,500,7273400,0.1830228180894002
optimized,3000,252662200,0.17608577462734717
optimized,2500,172143000,0.17277917291467182
optimized,1000,26611500,0.16714185623249098
optimized,2500,167816400,0.16843658350044866
optimized,1500,65140400,0.18169447595953062
optimized,2000,115553700,0.1812388810252258
optimized,3500,335175000,0.17159196361874193
optimized,4500,547893700,0.16965842787197324
optimized,2000,109791200,0.17220075371378651
optimized,2000,123503300,0.19370734035277773
optimized,500,6263300,0.1576053587784723
optimized,1500,64866400,0.18093021466526604
optimized,5000,723150200,0.1813622816296158
optimized,1000,29622900,0.18605589662324398
optimized,5000,717447100,0.17993197402773467
optimized,4000,441349100,0.17297713575836104
optimized,3000,252923100,0.1762676015037073
optimized,4500,552417000,0.17105909367045438
optimized,2000,111047800,0.1741716536321474
optimized,5000,668535300,0.16766515083303538
optimized,3500,325416600,0.16659617629039963
optimized,2500,175649000,0.1762981297136055
optimized,5000,670098300,0.16805714304459402
optimized,3500,338773900,0.17343441105028512
optimized,5000,664621000,0.1666834648997634
optimized,1500,63415200,0.17688241908046046
